n_b_fm3,p_mev_fm3,epsilon_mev_fm3,mu_b_mev,cs2
8.000000000000e-02,4.069778286548e-01,7.584824461275e+01,9.531902805175e+02,1.150178278629e-02
8.400000000000e-02,4.526251117150e-01,7.966211296656e+01,9.537468818842e+02,1.246389603696e-02
8.800000000000e-02,5.020795914590e-01,8.347824417509e+01,9.543218609836e+02,1.348334049061e-02
9.200000000000e-02,5.555674818969e-01,8.729671353473e+01,9.549160980069e+02,1.456101510312e-02
9.600000000000e-02,6.133190384106e-01,9.111759972004e+01,9.555304037339e+02,1.569777546614e-02
1.000000000000e-01,6.755684462516e-01,9.494098452722e+01,9.561655297348e+02,1.689443742207e-02
1.040000000000e-01,7.425537221728e-01,9.876695265449e+01,9.568221766987e+02,1.815177978666e-02
1.080000000000e-01,8.145166262148e-01,1.025955915127e+02,9.575010012860e+02,1.947054638843e-02
1.120000000000e-01,8.917025813474e-01,1.064269910608e+02,9.582026218053e+02,2.085144758052e-02
1.160000000000e-01,9.743605991634e-01,1.102612436626e+02,9.589276229462e+02,2.229516134275e-02
1.200000000000e-01,1.062743210218e+00,1.140984439598e+02,9.596765597501e+02,2.380233406315e-02
1.240000000000e-01,1.157106397885e+00,1.179386887608e+02,9.604499609575e+02,2.520921220918e-02
1.280000000000e-01,1.256445209230e+00,1.217820640333e+02,9.612383534570e+02,2.646603714379e-02
1.320000000000e-01,1.360632183270e+00,1.256286141710e+02,9.620397451084e+02,2.783738646797e-02
1.360000000000e-01,1.470696208006e+00,1.294784086695e+02,9.628610652757e+02,2.940302557544e-02
1.400000000000e-01,1.587126706376e+00,1.333315324904e+02,9.637047085482e+02,3.108004072635e-02
1.440000000000e-01,1.710318957407e+00,1.371880781540e+02,9.645722021624e+02,3.285097862942e-02
1.480000000000e-01,1.840631317685e+00,1.410481434481e+02,9.654646943636e+02,3.470830553362e-02
1.520000000000e-01,1.978404184939e+00,1.449118302947e+02,9.663831215768e+02,3.664804415209e-02
1.560000000000e-01,2.123968415019e+00,1.487792440734e+02,9.673282851819e+02,3.866787026627e-02
1.600000000000e-01,2.277649695786e+00,1.526504931714e+02,9.683008929199e+02,4.076634188002e-02
1.640000000000e-01,2.439771059125e+00,1.565256886631e+02,9.693015836718e+02,4.294252963174e-02
1.680000000000e-01,2.610654425481e+00,1.604049440679e+02,9.703309434132e+02,4.519581864993e-02
1.720000000000e-01,2.790621600038e+00,1.642883751624e+02,9.713895160608e+02,4.752579339749e-02
1.760000000000e-01,2.979994936918e+00,1.681760998276e+02,9.724778111622e+02,4.993216649629e-02
