n_b_fm3,p_mev_fm3,epsilon_mev_fm3,mu_b_mev,cs2,delta_beta,proton_fraction,lepton_mu_mev
4.000000000000e-02,1.131610798393e-01,3.782084862024e+01,9.483502425020e+02,4.741040073024e-03,9.646094557582e-01,1.769527212091e-02,5.440662028202e+01
4.400000000000e-02,1.320249443849e-01,4.161514881661e+01,9.487994036589e+02,5.202224070212e-03,9.615361451197e-01,1.923192744015e-02,5.774339957923e+01
4.800000000000e-02,1.526488385397e-01,4.541124278846e+01,9.492477422291e+02,5.684192825581e-03,9.585635684121e-01,2.071821579397e-02,6.093591180554e+01
5.200000000000e-02,1.751915244867e-01,4.920913409927e+01,9.496985696877e+02,6.208455911880e-03,9.556882233994e-01,2.215588830028e-02,6.399875531049e+01
5.600000000000e-02,1.998191649334e-01,5.300883829973e+01,9.501545975833e+02,6.776741953979e-03,9.529065731586e-01,2.354671342069e-02,6.694409493255e+01
6.000000000000e-02,2.267042981034e-01,5.681038084215e+01,9.506180856710e+02,7.390536021802e-03,9.502151507491e-01,2.489242462545e-02,6.978219746560e+01
6.400000000000e-02,2.560250673672e-01,6.061379549377e+01,9.510909462677e+02,8.051136410842e-03,9.476106188456e-01,2.619469057719e-02,7.252182259357e+01
6.800000000000e-02,2.879646290493e-01,6.441912310553e+01,9.515748196261e+02,8.759694604385e-03,9.450898016471e-01,2.745509917645e-02,7.517051482653e+01
7.200000000000e-02,3.227106874598e-01,6.822641064058e+01,9.520711295561e+02,9.517243924417e-03,9.426496996122e-01,2.867515019389e-02,7.773482578022e+01
7.600000000000e-02,3.604551223225e-01,7.203571039595e+01,9.525811252404e+02,1.032472038975e-02,9.402874935748e-01,2.985625321262e-02,8.022048629523e+01
8.000000000000e-02,4.013936842648e-01,7.584707937073e+01,9.531059131875e+02,1.118297809395e-02,9.380005423673e-01,3.099972881637e-02,8.263254169851e+01
8.400000000000e-02,4.457257410445e-01,7.966057874696e+01,9.536464820001e+02,1.209280066069e-02,9.357863765822e-01,3.210681170890e-02,8.497545949672e+01
8.800000000000e-02,4.936540619729e-01,8.347627345842e+01,9.542037218226e+02,1.305490984793e-02,9.336426901536e-01,3.317865492318e-02,8.725321612274e+01
9.200000000000e-02,5.453846313255e-01,8.729423182885e+01,9.547784397846e+02,1.406997205229e-02,9.315673308385e-01,3.421633458076e-02,8.946936754120e+01
9.600000000000e-02,6.011264838939e-01,9.111452526557e+01,9.553713723903e+02,1.513860324858e-02,9.295582902860e-01,3.522085485702e-02,9.162710725844e+01
1.000000000000e-01,6.610915575260e-01,9.493722799771e+01,9.559831955523e+02,1.626137275189e-02,9.276136941286e-01,3.619315293568e-02,9.372931439115e+01
1.040000000000e-01,7.254945587411e-01,9.876241685077e+01,9.566145327838e+02,1.743880608569e-02,9.257317923620e-01,3.713410381901e-02,9.577859380691e+01
